Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
56750401,"Of Blood and Fire (The Bound and the Broken, #1)",Ryan  Cahill,"Cahill, Ryan",,"=""""","=""""",0,4.15,Ryan Cahill,Kindle Edition,541,2021,2021,,2022/05/21,"to-read, tbr-fantasy-indie","to-read (#386), tbr-fantasy-indie (#4)",to-read,,,,0,0
59836180,"Empire of Exiles (Books of the Usurper, #1)",Erin M. Evans,"Evans, Erin M.",,"=""0316440949""","=""9780316440943""",0,4.00,Orbit,Kindle Edition,448,2022,2022,,2022/06/18,"to-read, tbr-fantasy, on-deck","to-read (#396), tbr-fantasy (#84), on-deck (#4)",to-read,,,,0,0
59807972,Pulling the Wings Off Angels,K.J. Parker,"Parker, K.J.",,"=""1250835763""","=""9781250835765""",0,3.73,Tor.com,Paperback,139,2022,2022,,2022/06/18,"to-read, tbr-fantasy, on-deck","to-read (#397), tbr-fantasy (#85), on-deck (#3)",to-read,,,,0,0
57938414,"Assassin (Darkblade, #1)",Andy Peloquin,"Peloquin, Andy",,"=""""","=""""",0,4.18,The Fantasy Fiends Publishing Inc.,Kindle Edition,672,2021,2021,,2022/08/13,"to-read, tbr-fantasy-indie","to-read (#456), tbr-fantasy-indie (#3)",to-read,,,,0,0
29346182,"The Demons We See (The Dark Abyss of Our Sins, #1)",Krista D. Ball,"Ball, Krista D.",,"=""""","=""1230000990813""",0,3.89,,ebook,412,2016,2016,,2022/07/11,"to-read, tbr-fantasy-indie","to-read (#426), tbr-fantasy-indie (#2)",to-read,,,,0,0
55868456,The Spear Cuts Through Water,Simon Jimenez,"Jimenez, Simon",,"=""0593156595""","=""9780593156599""",0,4.22,Del Rey,Hardcover,525,2022,2022,,2022/08/23,"to-read, on-deck","to-read (#469), on-deck (#1)",to-read,,,,0,0
6440,Ivanhoe,Walter Scott,"Scott, Walter","Graham Tulloch, Walter Brendel","=""""","=""""",0,3.76,Penguin Books /Penguin Classics,Paperback,496,2000,1819,,2022/08/21,"to-read, tbr-classics","to-read (#468), tbr-classics (#1)",to-read,,,,0,0
61205165,"The Trials of Ashmount (Tragedy of Cedain, #1)",John  Palladino,"Palladino, John",,"=""""","=""9798986273709""",0,4.06,John Palladino,Kindle Edition,540,2022,,,2022/08/21,"to-read, tbr-fantasy-indie","to-read (#467), tbr-fantasy-indie (#1)",to-read,,,,0,0
28169061,You Die When You Die (West of West #1),Angus Watson,"Watson, Angus",,"=""""","=""""",0,3.97,Orbit,Kindle Edition,512,2017,2017,,2022/08/20,"to-read, tbr-fantasy","to-read (#466), tbr-fantasy (#96)",to-read,,,,0,0
54638560,"The Councillor (The Councillor, #1)",E.J. Beaton,"Beaton, E.J.",,"=""075641699X""","=""9780756416997""",0,4.00,DAW,Hardcover,442,2021,2021,,2022/08/20,"to-read, tbr-fantasy","to-read (#465), tbr-fantasy (#95)",to-read,,,,0,0
59976911,"Murder at the Serpentine Bridge (Wrexford & Sloane, #6)",Andrea Penrose,"Penrose, Andrea",,"=""1496732537""","=""9781496732538""",0,4.22,Kensington,Hardcover,361,2022,2022,,2022/08/15,to-read,to-read (#464),to-read,,,,0,0
35238713,Lies That Comfort and Betray (A Gilded Age Mystery #2),Rosemary Simpson,"Simpson, Rosemary",,"=""1496709136""","=""9781496709134""",0,3.96,Kensington Books,Kindle Edition,413,2018,2018,,2021/03/10,"to-read, tbr-historical-mystery","to-read (#172), tbr-historical-mystery (#54)",to-read,,,,0,0
50670942,Murder in the Jazz Band (The Catherine Tregowyn Mysteries #2),G.G. Vandagriff,"Vandagriff, G.G.",,"=""""","=""""",0,4.27,Orson Whitney Press,Kindle Edition,257,2020,2020,,2022/08/14,"to-read, tbr-historical-mystery","to-read (#462), tbr-historical-mystery (#53)",to-read,,,,0,0
49203670,"Gone To Ground (Maisie Frobisher Mysteries, #3)",Liz Hedgecock,"Hedgecock, Liz",,"=""""","=""""",0,4.28,White Rhino Books,Kindle Edition,230,2020,2020,,2022/08/14,"to-read, tbr-historical-mystery","to-read (#461), tbr-historical-mystery (#52)",to-read,,,,0,0
54810155,"The Sign of Death (Victorian Book Club Mystery, #2)",Callie Hutton,"Hutton, Callie",,"=""1643855824""","=""9781643855820""",0,4.14,Crooked Lane Books,Hardcover,336,2021,2021,,2021/04/08,"to-read, tbr-historical-mystery","to-read (#175), tbr-historical-mystery (#51)",to-read,,,,0,0
52211336,Footprints in the Sand (The Lucy Lawrence Mysteries #2),Pam Lecky,"Lecky, Pam",,"=""""","=""""",0,4.17,,Kindle Edition,300,2020,,2020/03/15,2020/03/14,"to-read, tbr-historical-mystery","to-read (#460), tbr-historical-mystery (#50)",to-read,,,,1,0
44005390,"A Nefarious Engagement (Beatrice Hyde-Clare Mysteries, #4)",Lynn Messina,"Messina, Lynn",,"=""1942218281""","=""9781942218289""",0,4.19,Potatoworks Press,Kindle Edition,229,2019,2019,,2022/08/14,"to-read, tbr-historical-mystery","to-read (#459), tbr-historical-mystery (#49)",to-read,,,,0,0
49075537,Murder at Enderley Hall (Miss Underhay Mysteries #2),Helena Dixon,"Dixon, Helena",,"=""183888064X""","=""""",0,4.21,Bookoture,Kindle Edition,254,2020,2020,,2022/08/14,"to-read, tbr-historical-mystery","to-read (#458), tbr-historical-mystery (#48)",to-read,,,,0,0
20887238,"Traitor's Blade (Greatcoats, #1)",Sebastien de Castell,"Castell, Sebastien de",,"=""""","=""""",0,4.05,Jo Fletcher Books,Kindle Edition,325,2014,2014,,2021/07/04,"to-read, tbr-fantasy","to-read (#199), tbr-fantasy (#94)",to-read,,,,0,0
35838132,The Thousand Deaths of Ardor Benn,Tyler Whitesides,"Whitesides, Tyler",,"=""031652025X""","=""9780316520256""",0,3.99,Orbit,Paperback,784,2018,2018,,2022/08/14,"to-read, tbr-fantasy","to-read (#457), tbr-fantasy (#93)",to-read,,,,0,0
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,"=""""","=""""",5,4.28,Modern Library,Paperback,279,2000,1813,2022/08/12,2022/07/29,,,read,"Nothing I say will be much different from the millions of others who have experienced Jane Austen. But wow was this great. I've seen most of the adaptations (I'm partial to the Laurence Olivier and the 1980s adaptation) and thoroughly enjoyed them. I figured I would finally delve into the actual book and it was well worth it. I'd like to rewatch the adaptations to see if my opinion changes, but I can definitely see why the 1995 adaptation is well regarded (which I still really like).<br/><br/>Austen is frankly timeless. Her plotting, her characters, her world are believable no matter when you read it. I truly believe anyone can read and enjoy Austen. I think what's so special about Pride and Prejudice is just how real it feels. The growth of the characters individually and their relationship feel so realistic and natural. There's a moment later in the book where there's a slow down in pace so the characters and story can take a breath and reflect. If you do the same as a reader, you'll see how far you've already journeyed with the characters and how much time you have left. I've read plenty of romance, and a lot of times it feels very quick or the story itself takes place in such a short amount of time. But not here, everything flows perfectly. It's simply a classic.<br/><br/>Quick hits:<br/>- Reading after seeing an adaptation enhances the experience since you have visual representations in your mind already.<br/>- I appreciated Jane much more in this, including her relationship with Elizabeth. In the adaptations, she tends to be somewhat of an afterthought in making Elizabeth the focus. But her secondary story is important and pivotal to Elizabeth.<br/>- The relationship, the growth and the pivotal scenes were all perfect.<br/>- Mr. Bennet definitely seems much more like a poor father than in some of the adaptations.<br/>- Timeless classic.<br/><br/>What else is there to say, it's a classic for a reason. I've ordered the rest of Austen's work (which I've seen many more adaptations for) and I'm excited to continue exploring her important contributions to literary history. It's sad to think about that she never truly got to see her own success and how much her work has meant to generations of people.",,,1,0
59755315,A Deception Most Deadly (A Cassie Gwynne Mystery #1),Genevieve Essig,"Essig, Genevieve",,"=""""","=""9781800196940""",0,3.74,Bookouture,Kindle Edition,340,2022,2022,,2022/08/11,"to-read, tbr-historical-mystery","to-read (#455), tbr-historical-mystery (#47)",to-read,,,,0,0
34927953,"Death Below Stairs (A Below Stairs Mystery, #1)",Jennifer Ashley,"Ashley, Jennifer",,"=""0399585516""","=""9780399585517""",0,3.81,Berkley,Paperback,336,2018,2018,,2021/07/18,"to-read, tbr-historical-mystery","to-read (#204), tbr-historical-mystery (#46)",to-read,,,,0,0
29565615,Sweetest Regret,Meredith Duran,"Duran, Meredith",,"=""1501147552""","=""9781501147555""",0,3.72,Pocket Star,ebook,105,2016,2016,,2022/08/07,,,read,,,,0,0
